"Woonplaatsen in Nederland 2015"
"Onderwerpen";"Woonplaatscode";"Gemeente";"Gemeente";"Provincie";"Provincie";"Landsdeel";"Landsdeel"
"Maarssen";"2064";"Stichtse Vecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Maartensdijk";"2936";"De Bilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Maasbommel";"1772";"West Maas en Waal";"GM0668";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Maasbracht";"1920";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maasbree";"2601";"Peel en Maas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maasdam";"2382";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maasdijk";"2658";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maashees";"1218";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Maasland";"2806";"Midden-Delfland";"GM1842";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maassluis";"1069";"Maassluis";"GM0556";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maastricht";"1406";"Maastricht";"GM0935";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maastricht-Airport";"1672";"Beek";"GM0888";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maasvlakte Rotterdam";"3084";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Macharen";"3252";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Made";"2577";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Makkinga";"1760";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Makkum";"2318";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Malden";"3494";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Mander";"1290";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Manderveen";"1291";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mantgum";"2027";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mantinge";"3016";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Maren-Kessel";"3471";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Margraten";"1694";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maria Hoop";"2043";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mariahout";"1448";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mariaparochie";"1292";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënberg";"1558";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënheem";"1493";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënvelde";"2230";"Oost Gelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Marijenkampen";"2705";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Markelo";"1444";"Hof van Twente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Marken";"1943";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Markenbinnen";"3556";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Marknesse";"1274";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Marle";"1383";"Olst-Wijhe";"GM1773";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Marrum";"3208";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Marsum";"2730";"Menameradiel";"GM1908";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Marum";"2263";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Marwijksoord";"1170";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Mastenbroek";"2200";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mastenbroek";"2901";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Matsloot";"1641";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Maurik";"3380";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Mechelen";"1231";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Medemblik";"3151";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Meeden";"2277";"Menterwolde";"GM1987";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meedhuizen";"3240";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meerkerk";"2108";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Meerlo";"1858";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"De Meern";"3297";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Meerssen";"1463";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meerstad";"3488";"Slochteren";"GM0040";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meeuwen";"1955";"Aalburg";"GM0738";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Megchelen";"1584";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Megen";"3251";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Meijel";"2140";"Peel en Maas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Melderslo";"1034";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Melick";"2591";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meliskerke";"2780";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Melissant";"2379";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Menaam";"2731";"Menameradiel";"GM1908";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mensingeweer";"3421";"De Marne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meppel";"1082";"Meppel";"GM0119";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Meppen";"2157";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Merkelbeek";"2847";"Onderbanken";"GM0881";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Merselo";"2331";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meteren";"3530";"Geldermalsen";"GM0236";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Meterik";"1035";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Metslawier";"3402";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mheer";"1695";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Middelaar";"2801";"Mook en Middelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Middelburg";"1007";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Middelharnis";"3143";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Middelie";"1840";"Zeevang";"GM0478";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Middelstum";"3450";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Middenbeemster";"2170";"Beemster";"GM0370";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Middenmeer";"2434";"Hollands Kroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Midlaren";"2926";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Midlum";"2892";"Harlingen";"GM0072";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Midsland";"2619";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Midwolda";"1897";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Midwolde";"2343";"Leek";"GM0022";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Midwoud";"3152";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Miedum";"1199";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mierlo";"1127";"Geldrop-Mierlo";"GM1771";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mijdrecht";"3549";"De Ronde Venen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Mijnsheerenland";"2383";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Mildam";"2191";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Milheeze";"2091";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mill";"1976";"Mill en Sint Hubert";"GM0815";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Millingen aan de Rijn";"2289";"Groesbeek";"GM0241";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Milsbeek";"2479";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Minnertsga";"3333";"het Bildt";"GM0063";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mirns";"1678";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Moddergat";"3403";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Moer";"3054";"Loon op Zand";"GM0809";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moerdijk";"1322";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moergestel";"2647";"Oisterwijk";"GM0824";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moerkapelle";"1212";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moerstraten";"1593";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Molenaarsgraaf";"1983";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Molenhoek";"2802";"Mook en Middelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Molenschot";"2069";"Gilze en Rijen";"GM0784";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Molkwerum";"1967";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Monnickendam";"1944";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Monster";"2659";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Montfoort";"1964";"Montfoort";"GM0335";"Utrecht";"PV26";"West-Nederland";"LD03"
"Montfort";"2592";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mook";"2803";"Mook en Middelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mookhoek";"2796";"Strijen";"GM0617";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moordrecht";"1244";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moorveld";"1464";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Morra";"3404";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Mortel";"2093";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Muiden";"1518";"Muiden";"GM0424";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Muiderberg";"1519";"Muiden";"GM0424";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Mûnein";"2446";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munnekeburen";"1725";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munnekezijl";"3312";"Kollumerland en Nieuwkruisland";"GM0079";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munstergeleen";"2816";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Muntendam";"2278";"Menterwolde";"GM1987";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Mussel";"3077";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Musselkanaal";"3075";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Naaldwijk";"2660";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Naarden";"1052";"Naarden";"GM0425";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nagele";"1278";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Nederasselt";"3497";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nederhemert";"2633";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nederhorst den Berg";"3003";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nederland";"2706";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nederweert";"2037";"Nederweert";"GM0946";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Nederweert-Eind";"2039";"Nederweert";"GM0946";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neede";"1656";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Neer";"2952";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neerijnen";"3363";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Neeritter";"2953";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neerkant";"1777";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Neerlangel";"3261";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Neerloon";"3262";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nes";"2588";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nes";"3405";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nes";"3603";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Netersel";"1068";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Netterden";"1583";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Niawier";"3406";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nibbixwoud";"3153";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Niebert";"2264";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niehove";"2121";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niekerk";"2178";"Grootegast";"GM0015";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niekerk";"3422";"De Marne";"GM1663";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nietap";"1642";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw Annerveen";"1171";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw Beerta";"1421";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuw- en Sint Joosland";"1009";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw Heeten";"1499";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nieuw Namen";"3093";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw Scheemda";"1894";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwaal";"2634";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nieuw-Amsterdam";"1993";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Balinge";"3018";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Beijerland";"2887";"Korendijk";"GM0588";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Buinen";"1797";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Dordrecht";"1994";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwdorp";"1259";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuwe Niedorp";"2518";"Hollands Kroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nieuwe Pekela";"1398";"Pekela";"GM0765";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwe Wetering";"3037";"Kaag en Braassem";"GM1884";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwebrug";"2496";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwediep";"1172";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwegein";"1108";"Nieuwegein";"GM0356";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuwehorne";"2194";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwendijk";"2216";"Werkendam";"GM0870";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuwer Ter Aa";"1394";"Stichtse Vecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuwerbrug aan den Rijn";"2666";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwerkerk";"2680";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuwerkerk aan den IJssel";"1016";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuweroord";"1815";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuweroord";"3017";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwersluis";"2221";"Stichtse Vecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuweschoot";"2187";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwe-Tonge";"3144";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwkoop";"2667";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwkuijk";"3502";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuwland";"2111";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwlande";"1816";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwlande Coevorden";"2158";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Lekkerland";"2795";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwleusen";"1239";"Dalfsen";"GM0148";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nieuwolda";"1896";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwpoort";"1807";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Roden";"1643";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Schoonebeek";"1995";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwstadt";"2047";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Nieuwveen";"2670";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Vennep";"1602";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nieuwvliet";"2969";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw-Vossemeer";"1404";"Steenbergen";"GM0851";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuw-Weerdinge";"1996";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Niezijl";"2122";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niftrik";"2569";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nigtevecht";"2222";"Stichtse Vecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nij Altoenae";"3330";"het Bildt";"GM0063";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nij Beets";"3352";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijbroek";"2607";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijeberkoop";"1761";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijega";"3284";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijehaske";"3521";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeholtpade";"1726";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeholtwolde";"1727";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijelamer";"1728";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijemirdum";"1679";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijensleek";"3116";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijetrijne";"1729";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeveen";"1083";"Meppel";"GM0119";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijhuizum";"1972";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijkerk";"3606";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijkerkerveen";"3607";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijland";"2414";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijlande";"1173";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijmegen";"3030";"Nijmegen";"GM0268";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijverdal";"3584";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nispen";"1591";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nisse";"1260";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nistelrode";"3062";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Noardburgum";"2450";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nooitgedacht";"1174";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noorbeek";"1696";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Noordbeemster";"2171";"Beemster";"GM0370";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordbroek";"2279";"Menterwolde";"GM1987";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordeinde";"1905";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordeinde Gld";"3070";"Oldebroek";"GM0269";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Noordeloos";"1436";"Giessenlanden";"GM0689";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noorden";"2668";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordgouwe";"2681";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Noordhoek";"1325";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Noordhorn";"2123";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordlaren";"1268";"Haren";"GM0017";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noord-Scharwoude";"1118";"Langedijk";"GM0416";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordscheschut";"1817";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noord-Sleen";"2159";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noordwelle";"2682";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Noordwijk";"2061";"Noordwijk";"GM0575";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordwijk";"2265";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordwijkerhout";"1927";"Noordwijkerhout";"GM0576";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordwolde";"1730";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Noordwolde";"2830";"Bedum";"GM0005";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nootdorp";"1142";"Pijnacker-Nootdorp";"GM1926";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Norg";"1644";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Notter";"1090";"Wierden";"GM0189";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nuenen";"2136";"Nuenen, Gerwen en Nederwetten";"GM0820";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nuis";"2266";"Marum";"GM0025";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nuland";"3611";"'s-Hertogenbosch";"GM0796";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
